2024年入库科技型中小企业名单（以下数据仅限于科技型中小企业评价工作的相关应用，严禁数据公开或用于其他任何非授权目的）,,,,,
序号,企业信息,,,,
,企业名称,企业实际经营地址,是否属于非公有制企业,企业主营业务,备注
1,河南伟达电子技术有限公司,河南省郑州市金水区杨金路199号河南新科技市场9号楼710室,是,软件开发、信息系统集成服务、虚拟仿真教学资源开发、VR/AR仿真教学平台研制、智慧教育科技产品,
2,河南中宇城建集团有限公司,河南自贸试验区郑州片区（郑东）农业南路51号1单元9层905号（郑州市郑东新区）,是,建筑装修装饰工程、幕墙工程、消防设施工程设计与施工、住宅装修、市政工程、环保工程、建材销售,
3,郑州翌硕科技有限公司,河南省郑州市金水区南阳路101号盛地大厦12层128号,是,计算机软硬件开发、系统集成、行业应用软件研发、互联网信息服务、无线应用平台开发、第二类电信增值业务,
4,河南佑民生物科技股份有限公司,河南省新乡市获嘉县徐营镇环镇路1号,是,工程和技术研究、生物饲料研发、饲料原料销售、畜牧渔业饲料销售、饲料添加剂销售、农产品加工销售,
5,济源赛孚工业陶瓷有限公司,河南省济源市承留镇南杜村（济源市高新技术开发区）,是,高温陶瓷辊棒、工业陶瓷元件、特种窑炉材料的研发、生产、销售,
6,河南长深科技有限公司,河南省郑州市登封市中岳办事处中禾商务广场510室,是,信创智能云黑板、会议平板一体机、信创胖终端计算机、信创智慧校园平台、智能终端产品研发及销售,
7,郑州益盛工程科技有限公司,郑州高新技术产业开发区枫杨街2号,是,烟草工程设计、咨询、项目管理、总承包；建筑工程设计、节能环保工程、烟草智能控制系统、物流信息系统设计集成,
8,洛阳丰龙办公家具有限公司,河南省洛阳市伊滨区庞村镇西庞村,是,钢制办公家具、文件柜、更衣柜、保险柜、密集柜、办公桌、校用设备、钢木家具的生产销售,
9,河南裕鸿机电科技有限公司,河南省郑州市管城回族区紫荆山路63号裕鸿国际D座1610室,是,通风设备、空调、电梯、消防器材、五金交电、制冷设备的批发零售；高温特种空调的生产及销售,
